,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
98546,Asia,中国,China,安徽省,Anhui,408,0.0,14,0
98562,Asia,中国,China,河南省,Henan,566,0.0,16,2
98580,Asia,中国,China,山东省,Shandong,259,0.0,7,0
98613,Asia,中国,China,海南省,Hainan,72,0.0,4,1
98641,Asia,中国,China,辽宁省,Liaoning,74,0.0,1,0
98667,Asia,中国,China,天津市,Tianjin,60,0.0,1,0
98679,Asia,中国,China,湖北省,Hubei,11177,0.0,300,350
98696,Asia,中国,China,浙江省,Zhejiang,724,0.0,43,0
98799,Asia,中国,China,广东省,Guangdong,725,0.0,21,0
98839,Asia,中国,China,云南省,Yunnan,114,0.0,5,0
98867,Asia,中国,China,广西壮族自治区,Guangxi,127,0.0,7,0
98967,Asia,中国,China,福建省,Fujian,179,0.0,1,0
98976,Asia,中国,China,四川省,Sichuan,254,0.0,14,1
98997,Asia,中国,China,江苏省,Jiangsu,271,0.0,8,0
99023,Asia,中国,China,湖南省,Hunan,521,0.0,22,0
99067,Asia,中国,China,北京市,Beijing,212,0.0,12,1
99307,Asia,中国,China,宁夏回族自治区,Ningxia,31,0.0,1,0
99312,Asia,中国,China,重庆市,Chongqing,312,0.0,8,2
99454,Asia,中国,China,上海市,Shanghai,203,0.0,10,1
99518,Asia,中国,China,黑龙江省,Heilongjiang,121,0.0,2,2
99542,Asia,中国,China,新疆维吾尔自治区,Xinjiang,24,0.0,0,0
99698,Asia,中国,China,山西省,Shanxi,66,0.0,2,0
99709,Asia,中国,China,青海省,Qinghai,13,0.0,0,0
99735,Asia,中国,China,内蒙古自治区,Neimenggu,34,0.0,1,0
99750,Asia,中国,China,陕西省,Shaanxi,128,0.0,0,0
99792,Asia,中国,China,江西省,Jiangxi,391,0.0,18,0
100017,Asia,中国,China,河北省,Hebei,113,0.0,3,1
100053,Asia,中国,China,甘肃省,Gansu,51,0.0,3,0
100076,Asia,中国,China,贵州省,Guizhou,46,0.0,2,0
100085,Asia,中国,China,吉林省,Jilin,31,0.0,1,0
100099,Asia,中国,Hongkong,香港,Hongkong,15,0.0,0,0
