,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
113954,Asia,中国,China,河南省,Henan,1231,0.0,440,13
113973,Asia,中国,China,黑龙江省,Heilongjiang,445,0.0,79,11
113986,Asia,中国,China,陕西省,Shaanxi,236,0.0,71,0
113999,Asia,中国,China,甘肃省,Gansu,90,0.0,54,2
114010,Asia,中国,China,山西省,Shanxi,128,0.0,49,0
114040,Asia,中国,China,湖南省,Hunan,1004,0.0,464,3
114067,Asia,中国,China,天津市,Tianjin,124,0.0,45,3
114082,Asia,中国,China,广东省,Guangdong,1316,0.0,465,2
114122,Asia,中国,China,山东省,Shandong,537,0.0,173,2
114150,Asia,中国,China,福建省,Fujian,287,0.0,82,0
114159,Asia,中国,China,河北省,Hebei,300,0.0,105,3
114170,Asia,中国,China,广西壮族自治区,Guangxi,237,0.0,49,2
114183,Asia,中国,China,海南省,Hainan,162,0.0,52,4
114199,Asia,中国,China,辽宁省,Liaoning,121,0.0,40,1
114212,Asia,中国,China,澳门,Macau,10,0.0,5,0
114213,Asia,中国,China,湖北省,Hubei,56249,0.0,5666,1596
114243,Asia,中国,China,台湾,Taiwan,20,0.0,2,1
114332,Asia,中国,China,江西省,Jiangxi,925,0.0,240,1
114372,Asia,中国,China,四川省,Sichuan,481,0.0,131,3
114394,Asia,中国,China,北京市,Beijing,380,0.0,108,4
114422,Asia,中国,China,吉林省,Jilin,89,0.0,30,1
114452,Asia,中国,China,香港,Hong Kong,57,0.0,2,1
114453,Asia,中国,China,云南省,Yunnan,171,0.0,42,0
114517,Asia,中国,China,浙江省,Zhejiang,1167,0.0,456,0
114542,Asia,中国,China,江苏省,Jiangsu,617,0.0,218,0
114556,Asia,中国,China,贵州省,Guizhou,144,0.0,46,1
114595,Asia,中国,China,安徽省,Anhui,962,0.0,255,6
114637,Asia,中国,China,内蒙古自治区,Neimenggu,70,0.0,8,0
114648,Asia,中国,China,新疆维吾尔自治区,Xinjiang,71,0.0,12,1
114660,Asia,中国,China,重庆市,Chongqing,547,0.0,187,5
115250,Asia,中国,China,上海市,Shanghai,328,0.0,140,1
