,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
96599,Asia,中国,China,河南省,Henan,1272,0.0,1068,20
96618,Asia,中国,China,内蒙古自治区,Neimenggu,75,0.0,42,0
96629,Asia,中国,China,山东省,Shandong,756,0.0,387,6
96644,Asia,中国,China,安徽省,Anhui,989,0.0,792,6
96660,Asia,中国,China,江苏省,Jiangsu,631,0.0,498,0
96673,Asia,中国,China,天津市,Tianjin,135,0.0,102,3
96689,Asia,中国,China,辽宁省,Liaoning,121,0.0,93,1
96702,Asia,中国,China,山西省,Shanxi,133,0.0,106,0
96714,Asia,中国,China,吉林省,Jilin,93,0.0,67,1
96724,Asia,中国,China,新疆维吾尔自治区,Xinjiang,76,0.0,43,2
96736,Asia,中国,China,澳门,Macau,10,0.0,8,0
96737,Asia,中国,China,浙江省,Zhejiang,1205,0.0,932,1
96749,Asia,中国,China,四川省,Sichuan,534,0.0,321,3
96770,Asia,中国,China,湖南省,Hunan,1017,0.0,804,4
96784,Asia,中国,China,黑龙江省,Heilongjiang,480,0.0,270,13
96797,Asia,中国,China,陕西省,Shaanxi,245,0.0,195,1
96810,Asia,中国,China,河北省,Hebei,317,0.0,274,6
96821,Asia,中国,China,湖北省,Hubei,65596,0.0,23383,2641
96981,Asia,中国,China,广西壮族自治区,Guangxi,252,0.0,161,2
96994,Asia,中国,China,福建省,Fujian,296,0.0,228,1
97025,Asia,中国,China,海南省,Hainan,168,0.0,131,5
97041,Asia,中国,China,云南省,Yunnan,174,0.0,150,2
97055,Asia,中国,China,宁夏回族自治区,Ningxia,72,0.0,68,0
97061,Asia,中国,China,广东省,Guangdong,1347,0.0,890,7
97108,Asia,中国,China,香港,Hong Kong,92,0.0,24,2
97334,Asia,中国,China,上海市,Shanghai,337,0.0,276,3
97373,Asia,中国,China,北京市,Beijing,410,0.0,248,5
97426,Asia,中国,China,江西省,Jiangxi,934,0.0,754,1
97535,Asia,中国,China,贵州省,Guizhou,146,0.0,112,2
97692,Asia,中国,China,重庆市,Chongqing,576,0.0,384,6
